,season,seasonNumber,series,overallEpisodeNumber,episode,episodeName,airDate,nCompetitors
301,World All Stars,20.0,US,296.0,8.0,Street Food Fight,2023-04-27,9.0
302,World All Stars,20.0,US,297.0,9.0,Restaurant Wars,2023-05-04,8.0
303,World All Stars,20.0,US,298.0,10.0,Thali Time,2023-05-11,7.0
304,World All Stars,20.0,US,299.0,11.0,Battle of the Wellingtons,2023-05-18,6.0
305,World All Stars,20.0,US,300.0,12.0,"Goodbye, London!",2023-05-25,5.0
306,World All Stars,20.0,US,301.0,13.0,Champions in Paris,2023-06-01,4.0
307,World All Stars,20.0,US,302.0,14.0,Fin.,2023-06-08,3.0
308,Masters Season 1,1.0,US Masters,,1.0,Masters Get Schooled,2009-06-10,4.0
309,Masters Season 1,1.0,US Masters,,2.0,The Lost Supper,2009-06-17,4.0
310,Masters Season 1,1.0,US Masters,,3.0,Offal Tasty,2009-06-24,4.0
311,Masters Season 1,1.0,US Masters,,4.0,Magic Chefs,2009-07-08,4.0
312,Masters Season 1,1.0,US Masters,,5.0,Miniaturize Me,2009-07-15,4.0
313,Masters Season 1,1.0,US Masters,,6.0,Trick in a Box,2009-07-22,4.0
314,Masters Season 1,1.0,US Masters,,7.0,Champions Round Begins,2009-07-29,6.0
315,Masters Season 1,1.0,US Masters,,8.0,Dietary Restrictions,2009-08-05,5.0
316,Masters Season 1,1.0,US Masters,,9.0,Masters of Disaster,2009-08-12,4.0
317,Masters Season 1,1.0,US Masters,,10.0,Finale: Top Chef Master,2009-08-19,3.0
318,Masters Season 2,2.0,US Masters,,1.0,First Date Dinner,2010-04-07,6.0
319,Masters Season 2,2.0,US Masters,,2.0,It's My Party,2010-04-14,5.0
320,Masters Season 2,2.0,US Masters,,3.0,Pub Food,2010-04-21,6.0
321,Masters Season 2,2.0,US Masters,,4.0,Cast and Crew Meal,2010-04-28,5.0
322,Masters Season 2,2.0,US Masters,,5.0,Wedding Wars,2010-05-05,8.0
323,Masters Season 2,2.0,US Masters,,6.0,Scary Surf & Turf,2010-05-12,7.0
324,Masters Season 2,2.0,US Masters,,7.0,Tailgating,2010-05-19,6.0
325,Masters Season 2,2.0,US Masters,,8.0,Food of the Gods,2010-05-26,5.0
326,Masters Season 2,2.0,US Masters,,9.0,Improv,2010-06-02,4.0
327,Masters Season 2,2.0,US Masters,,10.0,Top Chef Master,2010-06-09,3.0
